"id","oid","uid","created_at","updated_at"
"48","49","549","2020-09-01 16:09:36","2020-09-01 16:09:36"
"49","51","603","2020-09-02 08:05:06","2020-09-02 08:19:49"
"50","52","549","2020-09-02 08:05:12","2020-09-02 08:05:12"
"51","54","603","2020-09-02 08:05:20","2020-09-02 08:20:09"
"52","53","603","2020-09-02 08:05:25","2020-09-02 09:48:10"
"53","55","549","2020-09-02 08:05:31","2020-09-02 08:05:31"
"54","56","603","2020-09-02 08:05:36","2020-09-02 09:48:01"
"55","57","603","2020-09-02 08:05:43","2020-09-02 08:10:07"
"56","58","603","2020-09-02 08:05:49","2020-09-02 09:47:40"
"57","78","549","2020-09-02 15:23:04","2020-09-02 15:23:04"
"58","80","549","2020-09-02 15:23:07","2020-09-02 15:23:07"
"59","81","549","2020-09-02 15:30:12","2020-09-02 15:30:12"
"60","82","477","2020-09-02 15:30:23","2020-09-02 15:30:23"
"61","84","477","2020-09-02 15:54:25","2020-09-02 15:54:25"
"62","77","603","2020-09-02 22:44:03","2020-09-02 22:44:03"
"63","79","603","2020-09-02 22:44:27","2020-09-02 22:44:27"
"64","86","603","2020-09-02 22:44:49","2020-09-02 22:44:49"
"65","87","603","2020-09-02 22:44:59","2020-09-02 22:44:59"
"66","88","603","2020-09-02 22:45:10","2020-09-02 22:45:10"
"67","89","603","2020-09-02 22:45:20","2020-09-02 22:45:20"
"68","90","603","2020-09-02 22:45:27","2020-09-02 22:45:27"
"69","92","603","2020-09-02 22:45:35","2020-09-02 22:45:35"
"70","95","556","2020-09-02 22:45:45","2020-09-03 09:58:17"
"71","97","556","2020-09-02 22:45:58","2020-09-03 09:58:09"
"72","98","549","2020-09-02 22:46:01","2020-09-03 11:06:26"
"73","99","549","2020-09-02 22:55:42","2020-09-03 11:06:40"
"74","102","549","2020-09-03 07:35:27","2020-09-03 07:35:27"
"75","100","549","2020-09-03 07:35:36","2020-09-03 07:35:36"
"76","85","549","2020-09-03 07:35:48","2020-09-03 07:35:48"
"77","94","549","2020-09-03 07:35:56","2020-09-03 07:35:56"
"78","101","549","2020-09-03 07:36:03","2020-09-03 07:36:03"
"79","83","634","2020-09-03 07:36:12","2020-09-03 08:54:08"
"80","91","634","2020-09-03 07:36:17","2020-09-03 08:53:32"
"81","60","634","2020-09-03 07:36:23","2020-09-03 08:54:23"
"82","96","634","2020-09-03 07:36:35","2020-09-03 08:53:48"
"83","105","634","2020-09-03 11:58:07","2020-09-03 11:58:07"
"84","106","549","2020-09-03 12:08:07","2020-09-03 12:08:07"
"85","107","634","2020-09-03 12:39:46","2020-09-03 12:39:46"
"87","109","549","2020-09-03 12:49:11","2020-09-03 12:49:11"
"88","110","634","2020-09-03 12:49:16","2020-09-03 12:49:16"
"89","113","549","2020-09-03 13:14:50","2020-09-03 13:14:50"
"90","114","549","2020-09-03 13:58:51","2020-09-03 13:58:51"
"91","117","634","2020-09-03 14:57:39","2020-09-03 14:57:39"
"92","118","634","2020-09-03 15:45:22","2020-09-03 15:48:19"
"93","119","549","2020-09-03 15:55:46","2020-09-03 15:58:14"
"94","127","549","2020-09-04 08:08:29","2020-09-04 08:08:29"
"95","124","549","2020-09-04 08:08:39","2020-09-04 08:08:39"
"96","123","603","2020-09-04 08:08:59","2020-09-04 08:08:59"
"97","122","556","2020-09-04 08:09:08","2020-09-04 08:09:08"
"98","121","549","2020-09-04 08:09:25","2020-09-04 13:13:50"
"99","120","549","2020-09-04 08:09:32","2020-09-04 13:13:52"
"100","116","603","2020-09-04 08:09:45","2020-09-04 08:09:45"
"101","115","556","2020-09-04 08:09:53","2020-09-04 08:09:53"
"102","112","549","2020-09-04 08:10:02","2020-09-04 08:10:02"
"103","103","603","2020-09-04 08:10:12","2020-09-04 08:10:12"
"104","126","603","2020-09-04 08:10:29","2020-09-04 08:10:29"
"105","93","556","2020-09-04 08:12:25","2020-09-04 08:12:25"
"106","65","549","2020-09-04 08:12:41","2020-09-04 08:12:41"
"107","128","549","2020-09-04 09:45:01","2020-09-04 10:16:49"
"108","130","549","2020-09-04 11:03:51","2020-09-04 11:03:51"
"109","131","477","2020-09-04 11:18:27","2020-09-04 11:18:27"
"110","132","477","2020-09-04 12:25:48","2020-09-04 12:25:48"
"111","134","605","2020-09-04 14:46:25","2020-09-04 14:46:25"
"112","135","549","2020-09-04 15:01:16","2020-09-04 16:39:02"
"113","139","556","2020-09-05 07:36:27","2020-09-05 10:44:18"
"114","137","556","2020-09-05 07:36:32","2020-09-05 10:01:46"
"115","136","549","2020-09-05 07:36:36","2020-09-05 07:36:36"
"116","141","549","2020-09-05 10:02:03","2020-09-05 10:15:48"
"117","143","549","2020-09-05 11:35:49","2020-09-05 11:35:49"
"118","144","556","2020-09-05 12:01:41","2020-09-07 07:52:20"
"119","145","549","2020-09-05 12:27:09","2020-09-05 12:27:09"
"120","146","477","2020-09-05 12:31:40","2020-09-05 12:31:40"
"121","147","477","2020-09-05 12:40:58","2020-09-05 12:40:58"
"122","148","549","2020-09-05 13:54:56","2020-09-05 14:23:34"
"123","149","477","2020-09-05 14:01:33","2020-09-07 08:04:53"
"124","138","549","2020-09-07 07:49:15","2020-09-07 13:04:24"
"125","140","603","2020-09-07 07:49:23","2020-09-07 07:49:23"
"126","151","603","2020-09-07 07:50:03","2020-09-07 07:50:03"
"127","153","603","2020-09-07 07:50:10","2020-09-07 07:50:10"
"128","154","603","2020-09-07 07:50:17","2020-09-07 07:50:17"
"129","155","477","2020-09-07 07:50:24","2020-09-07 11:02:34"
"130","157","477","2020-09-07 07:50:27","2020-09-07 11:02:26"
"131","152","477","2020-09-07 07:50:38","2020-09-07 11:02:19"
"132","160","549","2020-09-07 07:50:49","2020-09-07 07:50:49"
"133","166","549","2020-09-07 07:50:59","2020-09-07 07:50:59"
"134","168","549","2020-09-07 07:51:07","2020-09-07 07:51:07"
"135","175","549","2020-09-07 07:51:19","2020-09-07 07:51:19"
"136","176","549","2020-09-07 07:51:23","2020-09-07 07:51:23"
"137","177","549","2020-09-07 07:51:32","2020-09-07 07:51:32"
"138","170","477","2020-09-07 07:51:37","2020-09-07 16:21:56"
"139","171","477","2020-09-07 07:51:42","2020-09-07 16:22:17"
"140","164","549","2020-09-07 07:51:52","2020-09-07 07:51:52"
"141","158","556","2020-09-07 07:52:48","2020-09-07 07:52:48"
"142","163","549","2020-09-07 07:52:59","2020-09-07 11:09:04"
"143","179","477","2020-09-07 07:53:13","2020-09-07 13:28:28"
"144","159","549","2020-09-07 07:53:40","2020-09-07 14:25:34"
"145","165","477","2020-09-07 07:53:46","2020-09-07 07:53:46"
"146","169","549","2020-09-07 07:53:58","2020-09-07 15:45:02"
"147","172","605","2020-09-07 07:54:12","2020-09-07 07:54:12"
"148","161","549","2020-09-07 07:54:22","2020-09-07 11:12:36"
"149","178","477","2020-09-07 07:55:44","2020-09-07 11:12:12"
"150","180","634","2020-09-07 10:36:58","2020-09-07 14:12:41"
"151","184","477","2020-09-07 12:19:24","2020-09-07 12:19:24"
"152","183","477","2020-09-07 12:19:27","2020-09-07 12:19:27"
"153","182","477","2020-09-07 12:19:29","2020-09-07 12:19:29"
"154","189","634","2020-09-07 12:20:38","2020-09-07 12:20:38"
"155","188","634","2020-09-07 12:20:41","2020-09-07 12:20:41"
"156","187","549","2020-09-07 12:20:44","2020-09-07 12:20:44"
"157","186","721","2020-09-07 12:20:45","2020-09-08 07:37:38"
"158","185","477","2020-09-07 12:20:59","2020-09-07 16:22:31"
"159","195","634","2020-09-07 13:02:02","2020-09-07 13:02:02"
"160","197","549","2020-09-07 13:37:25","2020-09-07 13:37:25"
"161","196","477","2020-09-07 13:39:42","2020-09-07 13:39:42"
"162","190","634","2020-09-07 14:28:24","2020-09-07 14:28:24"
"163","191","634","2020-09-07 14:28:27","2020-09-07 14:28:28"
"164","192","634","2020-09-07 14:28:32","2020-09-07 14:28:32"
"165","193","549","2020-09-07 14:28:35","2020-09-07 17:08:27"
"166","199","477","2020-09-07 14:57:27","2020-09-07 18:11:32"
"167","201","549","2020-09-07 15:56:54","2020-09-07 16:52:59"
"168","167","603","2020-09-08 07:27:39","2020-09-08 07:27:39"
"169","194","603","2020-09-08 07:28:14","2020-09-08 07:28:14"
"170","200","603","2020-09-08 07:28:24","2020-09-08 07:28:24"
"171","214","603","2020-09-08 07:28:36","2020-09-08 07:28:36"
"172","220","603","2020-09-08 07:28:44","2020-09-08 07:28:44"
"173","205","556","2020-09-08 07:29:36","2020-09-08 07:29:36"
"174","216","549","2020-09-08 07:29:46","2020-09-08 10:32:58"
"175","215","549","2020-09-08 07:30:05","2020-09-08 07:30:05"
"176","206","721","2020-09-08 07:38:01","2020-09-08 07:38:01"
"177","210","549","2020-09-08 07:38:08","2020-09-08 12:55:03"
"178","211","549","2020-09-08 07:38:25","2020-09-08 07:38:25"
"179","173","549","2020-09-08 07:41:00","2020-09-08 07:41:00"
"180","174","477","2020-09-08 07:41:06","2020-09-08 11:51:30"
"181","212","549","2020-09-08 07:41:28","2020-09-08 12:58:26"
"182","213","549","2020-09-08 07:41:48","2020-09-08 12:58:35"
"183","217","556","2020-09-08 07:42:00","2020-09-08 07:42:00"
"184","221","549","2020-09-08 07:42:08","2020-09-08 07:42:08"
"185","209","549","2020-09-08 07:42:20","2020-09-08 14:58:21"
"186","198","634","2020-09-08 07:42:30","2020-09-08 16:07:49"
"187","222","549","2020-09-08 08:32:16","2020-09-08 08:32:16"
"188","223","549","2020-09-08 09:25:28","2020-09-08 09:30:27"
"189","224","721","2020-09-08 10:33:12","2020-09-08 10:33:12"
"190","225","549","2020-09-08 10:42:31","2020-09-08 10:42:31"
"191","226","477","2020-09-08 10:42:35","2020-09-08 11:48:59"
"192","227","721","2020-09-08 11:03:59","2020-09-08 14:58:31"
"193","228","721","2020-09-08 11:09:49","2020-09-08 14:58:35"
"194","229","721","2020-09-08 11:10:31","2020-09-08 11:10:31"
"195","231","549","2020-09-08 11:43:30","2020-09-08 11:43:30"
"196","232","477","2020-09-08 11:53:46","2020-09-08 11:53:46"
"197","233","477","2020-09-08 12:21:40","2020-09-08 12:21:40"
"198","234","477","2020-09-08 12:21:55","2020-09-08 12:21:55"
"199","230","549","2020-09-08 12:22:08","2020-09-08 12:22:10"
"200","237","721","2020-09-08 13:43:47","2020-09-08 13:43:47"
"201","238","549","2020-09-08 14:19:29","2020-09-08 14:19:29"
"202","242","477","2020-09-08 14:59:35","2020-09-08 16:44:25"
"203","241","549","2020-09-08 14:59:36","2020-09-08 14:59:36"
"204","240","549","2020-09-08 14:59:38","2020-09-08 14:59:38"
"205","239","549","2020-09-08 14:59:39","2020-09-08 14:59:39"
"206","244","549","2020-09-08 15:19:17","2020-09-08 15:19:17"
"207","245","477","2020-09-08 15:19:19","2020-09-08 16:44:34"
"208","247","477","2020-09-08 15:42:19","2020-09-08 18:59:50"
"209","248","549","2020-09-08 15:42:21","2020-09-08 15:42:21"
"210","249","477","2020-09-08 15:58:37","2020-09-08 19:04:02"
"211","261","721","2020-09-08 23:33:21","2020-09-08 23:33:21"
"212","259","634","2020-09-08 23:33:45","2020-09-08 23:33:45"
"213","258","556","2020-09-08 23:34:00","2020-09-09 09:17:02"
"214","257","549","2020-09-08 23:34:13","2020-09-08 23:34:13"
"215","256","634","2020-09-08 23:34:22","2020-09-08 23:34:22"
"216","254","746","2020-09-08 23:34:39","2020-09-09 11:07:06"
"217","253","746","2020-09-08 23:34:49","2020-09-09 11:07:14"
"218","252","634","2020-09-08 23:34:57","2020-09-08 23:34:57"
"219","251","721","2020-09-08 23:35:07","2020-09-08 23:35:07"
"220","250","549","2020-09-08 23:35:15","2020-09-15 10:11:16"
"221","246","549","2020-09-08 23:35:29","2020-09-08 23:35:29"
"222","235","746","2020-09-08 23:35:45","2020-09-09 11:06:51"
"223","263","634","2020-09-09 05:48:43","2020-09-09 05:48:43"
"224","262","721","2020-09-09 05:48:49","2020-09-09 05:48:49"
"225","264","549","2020-09-09 08:53:07","2020-09-09 08:53:07"
"226","236","721","2020-09-09 09:53:13","2020-09-09 09:53:13"
"227","181","549","2020-09-09 09:53:30","2020-09-09 09:53:30"
"228","156","634","2020-09-09 09:54:16","2020-09-09 09:54:16"
"229","265","721","2020-09-09 10:47:24","2020-09-09 10:47:24"
"230","267","549","2020-09-09 12:59:02","2020-09-09 12:59:02"
"231","268","746","2020-09-09 13:37:11","2020-09-09 13:37:11"
"232","269","549","2020-09-09 14:45:41","2020-09-09 15:56:11"
"233","270","549","2020-09-09 14:59:31","2020-09-09 14:59:31"
"234","272","549","2020-09-09 15:19:57","2020-09-09 15:43:39"
"235","274","549","2020-09-09 15:28:45","2020-09-09 15:28:47"
"236","273","549","2020-09-09 15:28:49","2020-09-09 15:28:49"
"237","290","746","2020-09-10 07:51:28","2020-09-10 07:51:28"
"238","284","746","2020-09-10 07:51:49","2020-09-10 07:51:49"
"239","283","746","2020-09-10 07:51:59","2020-09-10 07:51:59"
"240","287","556","2020-09-10 07:53:10","2020-09-10 08:07:07"
"241","280","746","2020-09-10 07:53:23","2020-09-11 08:07:03"
"242","279","721","2020-09-10 07:53:35","2020-09-14 07:12:34"
"243","278","549","2020-09-10 07:53:42","2020-09-10 07:53:42"
"244","277","549","2020-09-10 07:53:49","2020-09-10 07:53:49"
"245","275","549","2020-09-10 07:54:01","2020-09-10 07:54:01"
"246","271","746","2020-09-10 07:54:10","2020-09-10 07:54:10"
"247","266","746","2020-09-10 07:54:19","2020-09-10 07:54:19"
"248","260","549","2020-09-10 07:54:32","2020-09-10 07:54:32"
"249","255","549","2020-09-10 07:54:49","2020-09-10 07:54:49"
"250","288","746","2020-09-10 08:04:39","2020-09-10 13:38:15"
"251","286","549","2020-09-10 08:05:15","2020-09-10 08:05:15"
"252","285","746","2020-09-10 08:05:21","2020-09-10 08:05:21"
"253","276","549","2020-09-10 08:05:31","2020-09-10 13:48:09"
"254","243","549","2020-09-10 08:08:04","2020-09-10 08:08:04"
"255","291","549","2020-09-10 09:00:13","2020-09-10 09:00:13"
"256","292","746","2020-09-10 11:05:58","2020-09-10 11:05:58"
"257","293","549","2020-09-10 11:06:04","2020-09-10 11:06:04"
"258","294","746","2020-09-10 11:54:13","2020-09-10 11:54:13"
"260","296","746","2020-09-10 12:49:01","2020-09-10 12:49:01"
"261","297","549","2020-09-10 13:21:19","2020-09-10 13:21:19"
"262","300","549","2020-09-10 13:53:29","2020-09-10 15:09:43"
"263","301","549","2020-09-10 15:04:37","2020-09-10 15:04:37"
"264","302","549","2020-09-10 15:13:16","2020-09-10 15:13:16"
"265","309","746","2020-09-11 08:05:24","2020-09-11 08:05:24"
"266","308","721","2020-09-11 08:05:29","2020-09-11 08:18:08"
"267","307","746","2020-09-11 08:05:42","2020-09-11 08:17:48"
"268","306","721","2020-09-11 08:05:49","2020-09-11 08:05:49"
"269","305","721","2020-09-11 08:05:57","2020-09-11 08:05:57"
"270","304","746","2020-09-11 08:06:02","2020-09-11 08:06:02"
"271","303","721","2020-09-11 08:06:25","2020-09-11 08:06:25"
"272","298","746","2020-09-11 08:06:36","2020-09-11 08:06:36"
"273","313","721","2020-09-11 10:54:47","2020-09-11 10:54:47"
"274","314","746","2020-09-11 12:22:42","2020-09-11 12:22:44"
"275","316","746","2020-09-11 13:23:21","2020-09-11 13:23:21"
"276","317","721","2020-09-11 14:51:28","2020-09-11 14:53:43"
"277","318","471","2020-09-11 16:02:20","2020-09-29 00:42:38"
"278","323","556","2020-09-12 08:23:24","2020-09-12 09:17:06"
"279","320","746","2020-09-12 08:23:32","2020-09-12 08:23:32"
"280","310","549","2020-09-12 08:24:04","2020-09-12 08:24:04"
"281","299","556","2020-09-12 08:24:30","2020-09-12 08:24:30"
"282","322","746","2020-09-12 08:25:09","2020-09-12 08:25:20"
"283","319","746","2020-09-12 08:25:34","2020-09-12 08:25:34"
"284","315","549","2020-09-12 08:25:52","2020-09-12 08:25:52"
"286","326","746","2020-09-12 12:13:33","2020-09-12 12:13:33"
"287","327","746","2020-09-12 13:17:11","2020-09-12 13:17:11"
"288","336","746","2020-09-14 07:01:06","2020-09-14 07:01:06"
"289","334","746","2020-09-14 07:01:11","2020-09-14 07:01:11"
"290","332","549","2020-09-14 07:01:17","2020-09-14 07:01:17"
"291","331","549","2020-09-14 07:01:37","2020-09-14 07:01:37"
"292","330","721","2020-09-14 07:01:44","2020-09-14 07:01:44"
"293","328","721","2020-09-14 07:01:48","2020-09-14 07:01:48"
"294","321","556","2020-09-14 07:01:58","2020-09-14 07:01:58"
"295","361","746","2020-09-14 07:03:53","2020-09-14 07:03:53"
"296","333","721","2020-09-14 07:04:00","2020-09-14 07:04:00"
"297","358","746","2020-09-14 07:04:28","2020-09-14 07:04:28"
"298","357","721","2020-09-14 07:04:37","2020-09-14 07:04:37"
"299","345","549","2020-09-14 07:04:48","2020-09-14 07:04:48"
"300","342","549","2020-09-14 07:04:51","2020-09-14 07:04:51"
"301","341","556","2020-09-14 07:04:56","2020-09-14 07:04:56"
"302","340","549","2020-09-14 07:05:00","2020-09-14 10:51:29"
"303","339","549","2020-09-14 07:05:18","2020-09-14 07:05:18"
"304","360","746","2020-09-14 07:07:00","2020-09-14 07:07:00"
"305","353","549","2020-09-14 07:07:20","2020-09-15 08:27:43"
"306","351","721","2020-09-14 07:07:24","2020-09-14 07:07:24"
"307","349","721","2020-09-14 07:07:28","2020-09-14 07:07:28"
"308","335","721","2020-09-14 07:07:39","2020-09-14 07:07:39"
"309","350","549","2020-09-14 07:08:15","2020-09-14 07:08:15"
"310","348","549","2020-09-14 07:08:19","2020-09-14 07:08:19"
"311","347","746","2020-09-14 07:08:27","2020-09-14 07:08:27"
"312","343","549","2020-09-14 07:08:34","2020-09-15 08:27:59"
"313","362","721","2020-09-14 07:09:04","2020-09-14 07:09:04"
"314","359","721","2020-09-14 07:09:08","2020-09-14 07:09:08"
"315","355","721","2020-09-14 07:09:13","2020-09-14 07:09:13"
"316","354","746","2020-09-14 07:09:18","2020-09-14 07:09:18"
"317","352","746","2020-09-14 07:09:22","2020-09-15 08:27:47"
"318","346","549","2020-09-14 07:09:27","2020-09-14 07:09:27"
"319","344","549","2020-09-14 07:09:30","2020-09-14 07:09:30"
"320","356","746","2020-09-14 07:09:59","2020-09-14 07:09:59"
"321","338","721","2020-09-14 07:10:06","2020-09-14 07:10:06"
"322","324","746","2020-09-14 07:11:38","2020-09-14 07:16:15"
"323","363","549","2020-09-14 10:24:00","2020-09-14 10:24:00"
"324","366","549","2020-09-14 11:40:44","2020-09-14 17:05:04"
"325","367","549","2020-09-14 11:46:46","2020-09-14 11:46:46"
"326","368","549","2020-09-14 11:47:29","2020-09-14 18:38:33"
"327","369","549","2020-09-14 12:34:59","2020-09-14 12:34:59"
"328","370","549","2020-09-14 12:35:02","2020-09-14 18:06:45"
"329","371","746","2020-09-14 12:35:04","2020-09-14 12:35:04"
"330","373","549","2020-09-14 13:08:04","2020-09-14 13:08:04"
"331","375","721","2020-09-14 13:08:07","2020-09-14 13:08:07"
"332","376","549","2020-09-14 13:41:20","2020-09-14 13:41:20"
"333","378","549","2020-09-14 14:27:34","2020-09-14 14:27:34"
"334","379","746","2020-09-14 14:57:28","2020-09-14 14:57:28"
"335","381","549","2020-09-14 15:51:17","2020-09-14 17:21:37"
"336","382","721","2020-09-14 16:16:39","2020-09-14 16:16:39"
"337","396","556","2020-09-15 08:18:03","2020-09-15 08:31:17"
"338","394","556","2020-09-15 08:18:08","2020-09-15 08:31:22"
"339","393","746","2020-09-15 08:18:12","2020-09-15 08:18:12"
"340","383","549","2020-09-15 08:18:22","2020-09-15 08:18:22"
"341","399","549","2020-09-15 08:19:25","2020-09-15 08:20:16"
"342","398","746","2020-09-15 08:19:28","2020-09-15 08:19:28"
"343","395","549","2020-09-15 08:19:38","2020-09-15 08:19:38"
"344","397","746","2020-09-15 08:20:32","2020-09-15 08:20:32"
"345","400","746","2020-09-15 08:21:04","2020-09-15 08:21:04"
"346","391","549","2020-09-15 08:21:16","2020-09-15 08:21:16"
"347","390","549","2020-09-15 08:21:26","2020-09-15 08:21:31"
"348","384","746","2020-09-15 08:21:55","2020-09-15 08:21:55"
"349","372","746","2020-09-15 08:22:42","2020-09-15 08:22:42"
"350","374","549","2020-09-15 08:23:23","2020-09-15 08:23:23"
"351","386","746","2020-09-15 08:24:03","2020-09-15 08:24:03"
"352","387","549","2020-09-15 08:24:07","2020-09-15 08:24:07"
"353","401","549","2020-09-15 08:24:33","2020-09-15 15:27:20"
"354","392","549","2020-09-15 08:24:46","2020-09-15 08:24:46"
"355","380","746","2020-09-15 08:25:51","2020-09-15 08:25:51"
"356","364","549","2020-09-15 08:27:19","2020-09-15 08:27:19"
"357","403","549","2020-09-15 11:10:49","2020-09-15 11:10:49"
"358","404","746","2020-09-15 11:10:57","2020-09-15 11:10:57"
"359","405","549","2020-09-15 12:07:22","2020-09-15 12:07:22"
"360","406","549","2020-09-15 13:16:59","2020-09-15 13:16:59"
"361","407","746","2020-09-15 13:44:08","2020-09-15 13:44:08"
"362","408","549","2020-09-15 14:06:09","2020-09-15 14:06:09"
"363","421","721","2020-09-16 07:40:24","2020-09-16 07:40:24"
"364","420","721","2020-09-16 07:40:27","2020-09-16 07:40:27"
"365","418","721","2020-09-16 07:40:32","2020-09-16 07:40:32"
"366","417","549","2020-09-16 07:40:35","2020-09-16 07:40:35"
"367","411","549","2020-09-16 07:41:05","2020-09-16 07:41:05"
"368","409","721","2020-09-16 07:41:08","2020-09-16 07:41:08"
"369","422","809","2020-09-16 07:42:00","2020-09-16 10:22:53"
"370","419","721","2020-09-16 07:42:30","2020-09-16 12:03:45"
"371","416","807","2020-09-16 07:46:55","2020-09-16 07:46:55"
"372","412","721","2020-09-16 07:47:04","2020-09-16 07:53:00"
"373","410","746","2020-09-16 07:47:11","2020-09-16 15:18:41"
"374","402","721","2020-09-16 07:47:24","2020-09-16 15:19:08"
"375","415","721","2020-09-16 07:49:10","2020-09-16 07:49:10"
"376","414","721","2020-09-16 07:49:15","2020-09-16 07:49:15"
"377","413","807","2020-09-16 07:49:27","2020-09-16 07:49:27"
"378","388","549","2020-09-16 07:49:56","2020-09-21 10:30:10"
"379","377","549","2020-09-16 07:50:23","2020-09-16 13:20:28"
"380","424","809","2020-09-16 10:20:30","2020-09-16 10:20:30"
"381","425","549","2020-09-16 10:34:17","2020-09-16 12:46:23"
"382","426","721","2020-09-16 11:09:43","2020-09-16 11:09:43"
"383","428","721","2020-09-16 11:53:56","2020-09-16 11:53:56"
"384","430","807","2020-09-16 11:56:11","2020-09-16 11:56:11"
"385","429","809","2020-09-16 11:57:17","2020-09-16 11:57:17"
"386","427","721","2020-09-16 11:57:24","2020-09-16 11:57:24"
"387","431","549","2020-09-16 12:10:18","2020-09-16 12:10:18"
"388","432","549","2020-09-16 12:28:41","2020-09-16 12:28:41"
"389","433","549","2020-09-16 12:57:18","2020-09-16 12:57:18"
"390","434","746","2020-09-16 13:13:48","2020-09-16 15:18:31"
"391","435","549","2020-09-16 13:13:49","2020-09-16 13:13:49"
"392","67","549","2020-09-16 13:56:09","2020-09-16 13:56:09"
"393","436","746","2020-09-16 14:38:52","2020-09-16 14:38:52"
"394","437","746","2020-09-16 14:38:54","2020-09-16 14:38:54"
"395","438","721","2020-09-16 15:56:26","2020-09-16 15:56:26"
"396","448","807","2020-09-17 07:45:03","2020-09-17 07:45:03"
"397","423","809","2020-09-17 07:45:22","2020-09-17 07:45:22"
"398","445","807","2020-09-17 07:46:42","2020-09-17 07:46:42"
"399","444","809","2020-09-17 07:46:49","2020-09-17 07:46:49"
"400","447","807","2020-09-17 07:47:07","2020-09-17 07:47:07"
"401","443","809","2020-09-17 07:47:14","2020-09-17 07:47:14"
"402","442","807","2020-09-17 07:47:22","2020-09-17 07:47:22"
"403","450","809","2020-09-17 09:29:16","2020-09-17 09:30:55"
"404","453","807","2020-09-17 11:36:45","2020-09-17 11:36:45"
"405","454","809","2020-09-17 11:52:07","2020-09-17 11:52:07"
"406","455","746","2020-09-17 12:08:26","2020-09-17 12:08:26"
"407","456","746","2020-09-17 13:08:07","2020-09-17 13:08:07"
"408","457","746","2020-09-17 13:44:22","2020-09-17 13:44:22"
"409","458","746","2020-09-17 14:45:02","2020-09-17 14:45:02"
"410","460","746","2020-09-17 15:14:08","2020-09-17 15:14:08"
"411","446","746","2020-09-18 08:26:30","2020-09-18 08:26:30"
"412","451","746","2020-09-18 08:26:58","2020-09-18 08:26:58"
"413","452","807","2020-09-18 08:27:08","2020-09-18 08:27:08"
"414","464","809","2020-09-18 08:27:28","2020-09-18 08:27:28"
"415","439","809","2020-09-18 08:28:09","2020-09-18 08:28:09"
"416","440","807","2020-09-18 08:28:23","2020-09-18 08:28:23"
"417","465","807","2020-09-18 08:28:37","2020-09-18 08:28:37"
"418","463","809","2020-09-18 08:28:53","2020-09-18 08:28:53"
"419","441","807","2020-09-18 08:29:22","2020-09-18 08:29:22"
"420","462","809","2020-09-18 08:29:57","2020-09-18 08:29:57"
"421","461","809","2020-09-18 08:30:09","2020-09-18 12:19:20"
"422","466","807","2020-09-18 13:09:33","2020-09-18 13:09:33"
"423","467","549","2020-09-18 13:23:47","2020-09-18 13:23:47"
"424","468","549","2020-09-18 15:12:31","2020-09-18 15:12:31"
"425","471","746","2020-09-19 08:27:01","2020-09-19 08:27:01"
"426","473","746","2020-09-19 08:27:19","2020-09-19 08:27:19"
"427","449","746","2020-09-19 08:27:41","2020-09-19 08:27:41"
