ProductId,Catagory,Sub Catagory,Type,Brand,product,UPC CODE,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
,Ready To Eat,Soup,Soup,Panera Bread,Panera Bread Broccoli Cheddar Soup,077958693912,Panera Bread Broccoli Cheddar Soup,11.11,0,Market Basket,32 oz,32 oz,X6587.jpg,,0
,Ready To Eat,Soup,Soup,Market Basket,Market Basket Vegetable Sesame Lo Mein,,Market Basket Vegetable Sesame Lo Mein,4.36,0,Market Basket,8 oz,8 oz,X6588.jpg,,0
,Ready To Eat,Lunch & Dinner,Pie,Market Basket,Market Basket Beef Shepherd's Pie,036217269749,Market Basket Beef Shepherd's Pie,6.86,0,Market Basket,16 oz,16 oz,X6589.jpg,,0
,Ready To Eat,Lunch & Dinner,Soup,Market Basket,Market Basket American Chop Suey,036217215845,Market Basket American Chop Suey,4.99,0,Market Basket,12 oz,12 oz,X6590.jpg,,0
,Ready To Eat,Lunch & Dinner,Potatoes,Market Basket,Market Basket Roasted Red Bliss Potatoes ,036217254943,Market Basket Roasted Red Bliss Potatoes ,3.74,0,Market Basket,12 oz,12 oz,X6591.jpg,,0
,Ready To Eat,Lunch & Dinner,Meatloaf,Market Basket,Market Basket Meatloaf with Gravy,036217241646,Market Basket Meatloaf with Gravy,8.24,0,Market Basket,12 oz,12 oz,X6592.jpg,,0
,Ready To Eat,Lunch & Dinner,Eggplant,Market Basket,Market Basket Eggplant Parmesan,036217229040,Market Basket Eggplant Parmesan,6.61,0,Market Basket,12 oz,12 oz,X6593.jpg,,0
,Ready To Eat,Lunch & Dinner,Ready to Eat Food,Market Basket,"Market Basket Sausage, Peppers & Onions",036217268841,"Market Basket Sausage, Peppers & Onions",8.24,0,Market Basket,12 oz,12 oz,X6594.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Buffalo Style Chicken Mac & Cheese,036217284940,Market Basket Buffalo Style Chicken Mac & Cheese,6.61,0,Market Basket,12 oz,12 oz,X6595.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Buffalo Style Tenders,206123105046,Market Basket Buffalo Style Tenders,6.29,0,Market Basket,1.01 lb,1.01 lb,X6596.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Fully Cooked Chicken Tenders,206143304498,Market Basket Fully Cooked Chicken Tenders,5.61,0,Market Basket,0.9 lb,0.9 lb,X6597.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Honey Barbecue Tenders Cold,206122604243,Market Basket Honey Barbecue Tenders Cold,5.29,0,Market Basket,0.85 lb,0.85 lb,X6598.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Fully Cooked BBQ Wings Cold,207321611766,Market Basket Fully Cooked BBQ Wings Cold,14.69,0,Market Basket,1.57 lb,1.57 lb,X6599.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Fully Cooked Cold Buffalo Wings,207319508160,Market Basket Fully Cooked Cold Buffalo Wings,10.19,0,Market Basket,1.09 lb,1.09 lb,X6600.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Fully Cooked Teriyaki Wings Cold,207320911539,Market Basket Fully Cooked Teriyaki Wings Cold,14.41,0,Market Basket,1.54 lb,1.54 lb,X6601.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Sweet Glazed Chicken Drums Cold,206777803510,Market Basket Sweet Glazed Chicken Drums Cold,4.39,0,Market Basket,0.88 lb,0.88 lb,X6602.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Hot & Spicy Chicken Drums Cold,206776603715,Market Basket Hot & Spicy Chicken Drums Cold,4.64,0,Market Basket,0.93 lb,0.93 lb,X6603.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Breaded Chicken Cutlets,206692605985,Market Basket Breaded Chicken Cutlets,7.48,0,Market Basket,1 pack,1 pack,X6604.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Grilled Chicken Strips,206968402966,Market Basket Grilled Chicken Strips,3.69,0,Market Basket,0.39 lb,0.39 lb,X6605.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Individual Greek Salad,206225102493,Market Basket Individual Greek Salad,3.11,0,Market Basket,1 pack,1 pack,X6606.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Individual Tossed Salad,206252202395,Market Basket Individual Tossed Salad,2.99,0,Market Basket,1 pack,1 pack,X6607.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Salad W/Walnuts Cranberries Blue Cheese,206337102497,Market Basket Salad W/Walnuts Cranberries Blue Cheese,3.11,0,Market Basket,1 pack,1 pack,X6608.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,"Market Basket Mediterranean Feast Hummus, Taboule, Grape Leaves",060349070034,"Market Basket Mediterranean Feast Hummus, Taboule, Grape Leaves",4.99,0,Market Basket,10 oz,10 oz,X6609.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Medium Tossed Salad,206236602999,Market Basket Medium Tossed Salad,3.74,0,Market Basket,1 pack,1 pack,X6610.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Spinach/Cranberry Walnut/Blue Cheese,207489304494,Market Basket Spinach/Cranberry Walnut/Blue Cheese,5.61,0,Market Basket,1 pack,1 pack,X6611.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Medium Greek Salad,206238703496,Market Basket Medium Greek Salad,4.36,0,Market Basket,1 pack,1 pack,X6612.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Large Tossed Salad,206243304497,Market Basket Large Tossed Salad,5.61,0,Market Basket,1 pack,1 pack,X6613.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Gemelli And Spinach Pasta Salad,036217668900,Market Basket Gemelli And Spinach Pasta Salad,2.74,0,Market Basket,8 oz,8 oz,X6614.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Broccoli & Cheddar Pasta Salad,036217668702,Market Basket Broccoli & Cheddar Pasta Salad,3.11,0,Market Basket,8 oz,8 oz,X6615.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Potato Salad,036217767405,Market Basket Potato Salad,1.74,0,Market Basket,8 oz,8 oz,X6616.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Elbow Macaroni Salad,036217665701,Market Basket Elbow Macaroni Salad,1.74,0,Market Basket,8 oz,8 oz,X6617.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Cole Slaw ,036217363201,Market Basket Cole Slaw ,1.74,0,Market Basket,8 oz,8 oz,X6618.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Shrimp Cocktail,206365203999,Market Basket Shrimp Cocktail,4.99,0,Market Basket,1 pack,1 pack,X6619.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Greek Stuffed Grape Leaves,206191202005,Market Basket Greek Stuffed Grape Leaves,2.5,0,Market Basket,10 pcs,10 pcs,X6620.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Bulk Chicken Salad,206679503020,Market Basket Bulk Chicken Salad,3.78,0,Market Basket,0.57 lb,0.57 lb,X6621.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Seafood Salad,206677102546,Market Basket Seafood Salad,3.18,0,Market Basket,0.51 lb,0.51 lb,X6622.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Cranberry Chicken Salad Bulk,206892303896,Market Basket Cranberry Chicken Salad Bulk,4.86,0,Market Basket,0.65 lb,0.65 lb,X6623.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Deluxe Chicken Salad,207474006020,Market Basket Deluxe Chicken Salad,7.53,0,Market Basket,0.67 lb,0.67 lb,X6624.jpg,,0
,Ready To Eat,Salads,Salad,Market Basket,Market Basket Egg Salad,206676402524,Market Basket Egg Salad,3.15,0,Market Basket,0.55 lb,0.55 lb,X6625.jpg,,0
,Ready To Eat,Lunch & Dinner,Meatballs,Market Basket,Market Basket Freshly Made Meatballs In Sauce,206448205384,Market Basket Freshly Made Meatballs In Sauce,6.73,0,Market Basket,0.77 lb,0.77 lb,X6626.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Shells W/Sauce ,206610204597,Market Basket Shells W/Sauce ,5.74,0,Market Basket,1.15 lb,1.15 lb,X6627.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Lasagna W/Marinara ,206619603438,Market Basket Lasagna W/Marinara ,4.29,0,Market Basket,0.86 lb,0.86 lb,X6628.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Shrimp W/Penne Alfredo Sauce Cold,206415804558,Market Basket Shrimp W/Penne Alfredo Sauce Cold,5.69,0,Market Basket,1.14 lb,1.14 lb,X6629.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Chicken W/Penne In Alfredo Sauce,206591204876,Market Basket Chicken W/Penne In Alfredo Sauce,6.09,0,Market Basket,1.22 lb,1.22 lb,X6630.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Chicken Parm W/Penne & Marinara Sauce,206210608344,Market Basket Chicken Parm W/Penne & Marinara Sauce,10.43,0,Market Basket,2.09 lb,2.09 lb,X6631.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Meatballs W/Penne & Marinara Sauce ,206352008668,Market Basket Meatballs W/Penne & Marinara Sauce ,10.83,0,Market Basket,2.17 lb,2.17 lb,X6632.jpg,,0
,Ready To Eat,Pasta,Pasta,Market Basket,Market Basket Shrimp W/Penne Alfredo Sauce Cold,206415807542,Market Basket Shrimp W/Penne Alfredo Sauce Cold,9.43,0,Market Basket,1.89 lb,1.89 lb,X6633.jpg,,0
,Ready To Eat,Lunch & Dinner,Meatloaf,Market Basket,Market Basket Meat Loaf Dinner Cold,206464105996,Market Basket Meat Loaf Dinner Cold,7.49,0,Market Basket,1 pack,1 pack,X6634.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,"Market Basket Chicken Breast Dinner W/Mashed Potato, Stuffing",206469105991,"Market Basket Chicken Breast Dinner W/Mashed Potato, Stuffing",7.49,0,Market Basket,1 pack,1 pack,X6635.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket BBQ Ribs Dinner W/Potato & Corn,206580105993,Market Basket BBQ Ribs Dinner W/Potato & Corn,7.49,0,Market Basket,1 pack,1 pack,X6636.jpg,,0
,Ready To Eat,Lunch & Dinner,Turkey,Market Basket,Market Basket Turkey Breast Dinner Cold,206092305799,Market Basket Turkey Breast Dinner Cold,7.24,0,Market Basket,1 pack,1 pack,X6637.jpg,,0
,Ready To Eat,Lunch & Dinner,Ready to Eat Food,Market Basket,Market Basket Ham & Cheese Arancini,206192205388,Market Basket Ham & Cheese Arancini,6.73,0,Market Basket,1 pack,1 pack,X6638.jpg,,0
,Ready To Eat,Lunch & Dinner,Chicken,Market Basket,Market Basket Spicy Buffalo Wings Cold,206769107244,Market Basket Spicy Buffalo Wings Cold,9.05,0,Market Basket,1.45 lb,1.45 lb,X6639.jpg,,0
,Ready To Eat,Lunch & Dinner,Eggs,Farm Fresh,Farm Fresh Almark Cage Free Hard-Boiled Eggs,044984102466,Farm Fresh Almark Cage Free Hard-Boiled Eggs,2.49,0,Market Basket,9 oz,9 oz,X6640.jpg,,0
,Ready To Eat,Lunch & Dinner,Eggs,Farm Fresh,Farm Fresh Almark Cage Free Hard-Boiled Eggs,044984102428,Farm Fresh Almark Cage Free Hard-Boiled Eggs,1.24,0,Market Basket,3 oz,3 oz,X6641.jpg,,0
,Ready To Eat,Lunch & Dinner,Calzone,UNO,UNO The Hand Crafted One Calzone Italian Meat,039528700048,UNO The Hand Crafted One Calzone Italian Meat,11.24,0,Market Basket,20 oz,20 oz,X6642.jpg,,0
,Ready To Eat,Lunch & Dinner,Calzone,UNO,UNO The Hand Crafted One Calzone Chicken Parmesan,039528620254,UNO The Hand Crafted One Calzone Chicken Parmesan,11.24,0,Market Basket,20 oz,20 oz,X6643.jpg,,0
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket,Market Basket Sake Nigiri Salmon 8 pcs,,Market Basket Sake Nigiri Salmon 8 pcs,16.24,0,Market Basket,1 Pack,1 Pack,X6644.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket,Market Basket Salmon Sashimi ,,Market Basket Salmon Sashimi ,18.74,0,Market Basket,1 Pack,1 Pack,X6645.jpg,,22
,Ready To Eat,Sushi Corner,Chef Special Sushi,Market Basket,Market Basket Chef Special Roll ,,Market Basket Chef Special Roll ,18.74,0,Market Basket,1 Pack,1 Pack,X6646.jpg,,22
,Ready To Eat,Sushi Corner,Seaweed Sushi,Market Basket,Market Basket Seaweed Salad ,,Market Basket Seaweed Salad ,7.24,0,Market Basket,1 Pack,1 Pack,X6647.jpg,,22
,Ready To Eat,Sushi Corner,Squid Sushi,Market Basket,market Basket Ika Sansai Squid Salad ,,market Basket Ika Sansai Squid Salad ,7.24,0,Market Basket,1 Pack,1 Pack,X6648.jpg,,22
,Ready To Eat,Sushi Corner,Tobioco Sushi,Market Basket ,Market Basket California Roll W/Tobico,,Market Basket California Roll W/Tobico,9.99,0,Market Basket,1 Pack,1 Pack,X6649.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket ,Market Basket Spicy Salmon Uolcand Roll ,,Market Basket Spicy Salmon Uolcand Roll ,13.74,0,Market Basket,1 Pack,1 Pack,X6650.jpg,,22
,Ready To Eat,Sushi Corner,Crab Sushi,Market Basket ,Market Basket Spicy Soft Shell Crab W/Masago,,Market Basket Spicy Soft Shell Crab W/Masago,9.36,0,Market Basket,1 Pack,1 Pack,X6651.jpg,,22
,Ready To Eat,Sushi Corner,Shrimp Sushi,Market Basket ,Market Basket Shrimp Sumai ,,Market Basket Shrimp Sumai ,7.49,0,Market Basket,1 Pack,1 Pack,X6652.jpg,,22
,Ready To Eat,Sushi Corner,Rainbow Sushi,Market Basket ,Market Basket Rainbow Roll,,Market Basket Rainbow Roll,12.49,0,Market Basket,1 Pack,1 Pack,X6653.jpg,,22
,Ready To Eat,Sushi Corner,Tuna Sushi,Market Basket ,Market Basket Spicy Tuna & Shrimp Tempuro Volcano Roll ,,Market Basket Spicy Tuna & Shrimp Tempuro Volcano Roll ,13.74,0,Market Basket,1 Pack,1 Pack,X6654.jpg,,22
,Ready To Eat,Sushi Corner,Chef Special Sushi,Market Basket ,Market Basket Chef Special Roll ,,Market Basket Chef Special Roll ,14.99,0,Market Basket,1 Pack,1 Pack,X6655.jpg,,22
,Ready To Eat,Sushi Corner,Tuna Sushi,Market Basket ,Market Basket Spicy Tuna Volcano Roll ,,Market Basket Spicy Tuna Volcano Roll ,13.74,0,Market Basket,1 Pack,1 Pack,X6656.jpg,,22
,Ready To Eat,Sushi Corner,Tuscon Sushi,Market Basket ,Market Basket Tucson Roll ,,Market Basket Tucson Roll ,13.74,0,Market Basket,1 Pack,1 Pack,X6657.jpg,,22
,Ready To Eat,Sushi Corner,Shrimp Sushi,Market Basket ,Market Basket Crunchy Onion Spicy Shrimp Tempura Roll ,,Market Basket Crunchy Onion Spicy Shrimp Tempura Roll ,11.24,0,Market Basket,1 Pack,1 Pack,X6658.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket ,Market Basket Spicy Grilled Salmon Caterpillar Roll ,,Market Basket Spicy Grilled Salmon Caterpillar Roll ,11.24,0,Market Basket,1 Pack,1 Pack,X6659.jpg,,22
,Ready To Eat,Sushi Corner,Shrimp Sushi,Market Basket ,Market Basket Crunchy Onion Spicy Shrimp Tempura Roll ,,Market Basket Crunchy Onion Spicy Shrimp Tempura Roll ,9.99,0,Market Basket,1 Pack,1 Pack,X6660.jpg,,22
,Ready To Eat,Sushi Corner,California Roll,Market Basket ,Market Basket Crunchy Onion California Roll ,,Market Basket Crunchy Onion California Roll ,10.61,0,Market Basket,1 Pack,1 Pack,X6661.jpg,,22
,Ready To Eat,Sushi Corner,California Sushi,Market Basket ,Market Basket Spicy California Roll ,,Market Basket Spicy California Roll ,7.86,0,Market Basket,1 Pack,1 Pack,X6662.jpg,,22
,Ready To Eat,Sushi Corner,Vegetable Roll,Market Basket ,Market Basket Vegetable Roll ,,Market Basket Vegetable Roll ,6.86,0,Market Basket,1 Pack,1 Pack,X6663.jpg,,22
,Ready To Eat,Sushi Corner,Vegetable Roll,Market Basket ,Market Basket Avocado & Cucumber Roll ,,Market Basket Avocado & Cucumber Roll ,6.86,0,Market Basket,1 Pack,1 Pack,X6664.jpg,,22
,Ready To Eat,Sushi Corner,California Roll,Market Basket ,Market Basket California Roll W/Cream Cheese ,,Market Basket California Roll W/Cream Cheese ,7.86,0,Market Basket,1 Pack,1 Pack,X6665.jpg,,22
,Ready To Eat,Sushi Corner,Shrimp Sushi,Market Basket ,Market Basket Spicy Shrimp Roll ,,Market Basket Spicy Shrimp Roll ,8.49,0,Market Basket,1 Pack,1 Pack,X6666.jpg,,22
,Ready To Eat,Sushi Corner,California Roll,Market Basket ,Market Basket California Roll ,,Market Basket California Roll ,7.49,0,Market Basket,1 Pack,1 Pack,X6667.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket ,Market Basket Spicy Grilled Salmon Caterpillar Roll ,,Market Basket Spicy Grilled Salmon Caterpillar Roll ,8.49,0,Market Basket,1 Pack,1 Pack,X6668.jpg,,22
,Ready To Eat,Sushi Corner,Crab Sushi,Market Basket ,Market Basket Soft Shell Crab Roll ,,Market Basket Soft Shell Crab Roll ,8.74,0,Market Basket,1 Pack,1 Pack,X6669.jpg,,22
,Ready To Eat,Sushi Corner,Egg Sushi,Market Basket ,Market Basket Egg Roll ,,Market Basket Egg Roll ,8.49,0,Market Basket,1 Pack,1 Pack,X6670.jpg,,22
,Ready To Eat,Sushi Corner,Seafood Sushi,Market Basket ,Market Basket Spicy Seafood Roll ,,Market Basket Spicy Seafood Roll ,8.11,0,Market Basket,1 Pack,1 Pack,X6671.jpg,,22
,Ready To Eat,Sushi Corner,Tuna Sushi,Market Basket ,Market Basket Spicy Tuna Roll ,,Market Basket Spicy Tuna Roll ,8.74,0,Market Basket,1 Pack,1 Pack,X6672.jpg,,22
,Ready To Eat,Sushi Corner,Tuna Sushi,Market Basket ,Market Basket Tuna Roll,,Market Basket Tuna Roll,8.49,0,Market Basket,1 Pack,1 Pack,X6673.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket ,Market Basket Spicy Salmon Auo-Kyu Roll BPC ,,Market Basket Spicy Salmon Auo-Kyu Roll BPC ,8.74,0,Market Basket,1 Pack,1 Pack,X6674.jpg,,22
,Ready To Eat,Sushi Corner,Salmon Sushi,Market Basket ,Market Basket Salmon Roll ,,Market Basket Salmon Roll ,8.49,0,Market Basket,1 Pack,1 Pack,X6675.jpg,,22
