Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Personal Care,"Body Wash, Soap & Hair Care",Soap,Palmolive,"Palmolive Mild All Family Soap Bars, Classic Scent",,1.94,1,17742.jpg,,3,x 3.2 oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Soap,Safeguard,"Safeguard Deodorant Bar Soap, White with Aloe",,3.78,1,18132.jpg,,15.9,oz,,13
Personal Care,"Body Wash, Soap & Hair Care",Soap,Yardley,"Yardley Bath Bar, Naturally Moisturizing, Oatmeal & Almond",,2.86,1,17732.jpg,,1,count,,13
Personal Care,"Body Wash, Soap & Hair Care",Soap,Yardley,Yardley London Moisturizing Bath Bar English Lavender,,2.86,1,17723.jpg,,2,count,,13
Personal Care,Feminine Care,Tampon,U by Kotex,U by Kotex - Super Premium Super ABS Premium Tampons Sleek,,6.20,1,6518.jpg,,18,count,,13
Personal Care,Feminine Care,Tampon,U by Kotex,U by Kotex Security Tampons,,4.47,1,17804.jpg,,18,count,,13
Personal Care,First Aid & Healthcare,"Muscles, Joints & Pain Relief",Topcare,"TopCare Children's Pain Reliever & Fever Reducer Acetaminophen 160 Mg Per 5 Ml Oral Suspension, Cherry",,4.24,1,6636.jpg,,4,fl oz,,13
Personal Care,First Aid & Healthcare,"Muscles, Joints & Pain Relief",Topcare,"TopCare Infants' Ibuprofen 50 Mg Pain Reliever / Fever Reducer (nsaid) Oral Suspension, Berry",,8.50,1,6637.jpg,,0.5,fl oz,,13
Personal Care,First Aid & Healthcare,"Muscles, Joints & Pain Relief",Tylenol,Tylenol Childrens Children’s Tylenol Oral Suspension,,9.19,1,6643.jpg,,4,fl oz,,13
Personal Care,Personal Care,Skin care,Summer's Eve,Summer's Eve Cleansing Cloths for Sensitive Skin Sheer Floral,,3.09,1,6511.jpg,,16,count,,13
Personal Care,Personal Care,Skin care,Summer's Eve,Summer's Eve Douche Fresh Scent,,2.75,1,6514.jpg,,2,x 4.5 fl oz,,13
Personal Care,Vitamins & Proteins,Vitamins & Supplements,Sundown Naturals,Sundown Naturals Saw Palmetto Herbal Supplememt,,9.19,1,No Image.jpg,,100,count,,13
Personal Care,Vitamins & Proteins,Vitamins & Supplements,Tums,Tums Antacid,,4.93,1,17853.jpg,,60,count,,13
Fresh Produce,Fresh Fruits,Strawberries,Market Basket,Strawberries Fraises,,6.31,0,14242.jpg,,1,lb container,,20
Fresh Produce,Fresh Fruits,Strawberries,Market Basket,Whole Strawberry,,5.28,0,FP39.jpg,,32,oz,,20
Fresh Produce,Fresh Fruits,Watermelon,Market Basket,Seedless Watermelon,,6.14,0,14238.jpg,,1,count,,20
Fresh Produce,Fresh Fruits,Watermelon,Market Basket,Strawberry Watermelon Drink Enhancer Drops,,2.86,0,Market Basket.jpg,,1,count,,20
Fresh Produce,Fresh Fruits,Watermelon,Market Basket,Watermelon packed,,1.48,0,14183.jpg,,1,lb,,20
Fresh Produce,Fresh Fruits,Watermelon,Melon Up,Melon Up Watermelon Mini Seedless,,4.93,0,14224.jpg,,1,count,,20
Fresh Produce,Fresh Fruits,Watermelon,Sun State,"Sun State Produce Sales, Seedless Watermelon",,11.26,0,14280.jpg,,1,count,,20
Fresh Produce,Fresh Herbs,Sage,Market Basket,Sage,,2.86,0,14553.jpg,,1,oz bunch,,20
